"Source"	"Target"
"a_leboeuf"	"lauredlr"
"A_Suguenot"	"jf_cope"
"A_Suguenot"	"laurentwauquiez"
"A_Suguenot"	"lauredlr"
"A_Suguenot"	"sauvadet"
"A_Suguenot"	"franckriester"
"A_Suguenot"	"jechartier"
"A_Suguenot"	"benoistapparu"
"A_Suguenot"	"ECiotti"
"A_Suguenot"	"vpecresse"
"A_Suguenot"	"JLBorloo"
"A_Suguenot"	"Bruno_LeMaire"
"A_Suguenot"	"warsmann"
"A_Suguenot"	"FrancoisFillon"
"A_Suguenot"	"xavierbertrand"
"A_Suguenot"	"pelissard"
"A_Suguenot"	"nk_m"
"agrosskost"	"DeputeTardy"
"agrosskost"	"marclefur"
"agrosskost"	"claudebartolone"
"agrosskost"	"DeputeMIGNON"
"agrosskost"	"jcguibal"
"agrosskost"	"FrancoisFillon"
"agrosskost"	"Bruno_LeMaire"
"agrosskost"	"GillesCarrez"
"agrosskost"	"Michel_Sordi"
"agrosskost"	"christian_kert"
"agrosskost"	"laurentwauquiez"
"agrosskost"	"xavierbertrand"
"agrosskost"	"olivier_carre"
"agrosskost"	"jf_cope"
"agrosskost"	"francoisbaroin"
"agrosskost"	"LucChatel"
"agrosskost"	"sauvadet"
"agrosskost"	"BernardAccoyer"
"agrosskost"	"jechartier"
"agrosskost"	"cestrosi"
"agrosskost"	"vpecresse"
"al_rousset"	"jf_cope"
"al_rousset"	"Denis_Baupin"
"al_rousset"	"Guy_Delcourt"
"al_rousset"	"jp_gille"
"al_rousset"	"faureolivier"
"al_rousset"	"Michel_MENARD"
"al_rousset"	"pgiacobbi"
"al_rousset"	"Dhoffmanrispal"
"al_rousset"	"clergeaumf"
"al_rousset"	"VigierPhilippe"
"al_rousset"	"jm_leguen"
"al_rousset"	"olivierdussopt"
"al_rousset"	"regisjuanico"
"al_rousset"	"claudebartolone"
"al_rousset"	"jccambadelis"
"al_rousset"	"nk_m"
"al_rousset"	"vpecresse"
"al_rousset"	"laurentwauquiez"
"al_rousset"	"JJUrvoas"
"al_rousset"	"Vauzelle"
"al_rousset"	"S_Mazetier"
"al_rousset"	"michelfrancaix"
"al_rousset"	"elisabethguigou"
"al_rousset"	"BrunoLeRoux"
"al_rousset"	"VincentFeltesse"
"alain_gest"	"lauredlr"
"alain_gest"	"gilleslurton"
"alain_gest"	"PompiliBarbara"
"alain_gest"	"marclefur"
"alain_gest"	"Dbussereau"
"alain_gest"	"HerveMariton"
"alain_gest"	"DevedjianP"
"alain_gest"	"jfpoisson78"
"alain_gest"	"francoisbaroin"
"alain_gest"	"nk_m"
"alain_gest"	"vpecresse"
"alain_gest"	"laurentwauquiez"
"alain_gest"	"jf_cope"
"alain_marsaud"	"JS_Vialatte"
"alain_marsaud"	"olivier_carre"
"alain_marsaud"	"HGaymard"
"alain_marsaud"	"GilbertCollard"
"alain_marsaud"	"elisabethguigou"
"alain_marsaud"	"claudebartolone"
"alain_marsaud"	"Elie_ABOUD"
"alain_marsaud"	"Claudine_Schmid"
"alain_marsaud"	"valerieboyer13"
"alain_marsaud"	"jpdecool"
"alain_marsaud"	"philippekemel"
"alain_marsaud"	"PhilipCordery"
"alain_marsaud"	"ar_leroy"
"alain_marsaud"	"LGRANDGUILLAUME"
"alain_marsaud"	"GBachelay"
"alain_marsaud"	"MathieuHanotin"
"alain_marsaud"	"pascalcherki"
"alain_marsaud"	"SeybahDagoma"
"alain_marsaud"	"nicolasbays"
"alain_marsaud"	"patrickmennucci"
"alain_marsaud"	"Karine_Berger"
"alain_marsaud"	"c_erhel_deputee"
"alain_marsaud"	"pierrealainmuet"
"alain_marsaud"	"pyleborgn"
"alain_marsaud"	"yanngalut"
"alain_marsaud"	"VincentFeltesse"
"alain_marsaud"	"olivierdussopt"
"alain_marsaud"	"Vauzelle"
"alain_marsaud"	"Rihan_Cypel"
"alain_marsaud"	"PouriaAmirshahi"
"alain_marsaud"	"JJUrvoas"
"alain_marsaud"	"faureolivier"
"alain_marsaud"	"CorinneNara"
"alain_marsaud"	"BrunoLeRoux"
"alain_marsaud"	"jccambadelis"
"alain_marsaud"	"MTabarot"
"alain_marsaud"	"warsmann"
"alain_marsaud"	"guyteissier"
"alain_marsaud"	"jjguillet"
"alain_marsaud"	"marclefur"
"alain_marsaud"	"GillesCarrez"
"alain_marsaud"	"jclagarde"
"alain_marsaud"	"ca_ginesy"
"alain_marsaud"	"phgosselin"
"alain_marsaud"	"DevedjianP"
"alain_marsaud"	"Philippe_Goujon"
"alain_marsaud"	"sauvadet"
"alain_marsaud"	"jechartier"
"alain_marsaud"	"ArnaudRichard_"
"alain_marsaud"	"Herve_Morin"
"alain_marsaud"	"JCTaugourdeau"
"alain_marsaud"	"damienabad"
"alain_marsaud"	"francoisbaroin"
"alain_marsaud"	"dupontaignan"
"alain_marsaud"	"lionnelluca06"
"alain_marsaud"	"Patrick_Balkany"
"alain_marsaud"	"DeputeARobinet"
"alain_marsaud"	"BernardAccoyer"
"alain_marsaud"	"Dbussereau"
"alain_marsaud"	"ThierryMARIANI"
"alain_marsaud"	"christian_kert"
"alain_marsaud"	"yvesjego"
"alain_marsaud"	"jfpoisson78"
"alain_marsaud"	"benoistapparu"
"alain_marsaud"	"edouardcourtial"
"alain_marsaud"	"patrick_ollier"
"alain_marsaud"	"DominiqueDord"
"alain_marsaud"	"DeputeTardy"
"alain_marsaud"	"JLBorloo"
"alain_marsaud"	"glarrive"
"alain_marsaud"	"nk_m"
"alain_marsaud"	"Bruno_LeMaire"
"alain_marsaud"	"xavierbertrand"
"alain_marsaud"	"FrancoisFillon"
"alain_marsaud"	"cestrosi"
"alain_marsaud"	"vpecresse"
"alain_marsaud"	"laurentwauquiez"
"alain_marsaud"	"LucChatel"
"alain_marsaud"	"solere92"
"alain_marsaud"	"ECiotti"
"alain_marsaud"	"franckriester"
"alain_marsaud"	"lauredlr"
"alain_marsaud"	"jf_cope"
"alainchretien"	"DeputeARobinet"
"alainchretien"	"francoisbaroin"
"alainchretien"	"BernardAccoyer"
"alainchretien"	"Bruno_LeMaire"
"alainchretien"	"lauredlr"
"alainchretien"	"franckriester"
"alainchretien"	"laurentwauquiez"
"alainchretien"	"ThierryMARIANI"
"alainchretien"	"ECiotti"
"alainchretien"	"yvesjego"
"alainchretien"	"benoistapparu"
"alainchretien"	"HerveMariton"
"alainchretien"	"LucChatel"
"alainchretien"	"claudebartolone"
"alainchretien"	"jechartier"
"alainchretien"	"xavierbertrand"
"alainchretien"	"pelissard"
"alainchretien"	"FrancoisFillon"
"alainchretien"	"cestrosi"
"alainchretien"	"Dbussereau"
"alainchretien"	"DeputeTardy"
"alainchretien"	"vpecresse"
"alainchretien"	"nk_m"
"alainchretien"	"jf_cope"
"AndreChassaigne"	"BrunoLeRoux"
"AndreChassaigne"	"nk_m"
"AndreChassaigne"	"claudebartolone"
"AndreChassaigne"	"jjcandelier"
"andrieux_sylvie"	"CorinneNara"
"andrieux_sylvie"	"yanngalut"
"andrieux_sylvie"	"pbloche"
"andrieux_sylvie"	"benoistapparu"
"andrieux_sylvie"	"BLesterlin"
"andrieux_sylvie"	"pascalcherki"
"andrieux_sylvie"	"lionnelluca06"
"andrieux_sylvie"	"JJUrvoas"
"andrieux_sylvie"	"laurentbaumel"
"andrieux_sylvie"	"LucBELOT"
"andrieux_sylvie"	"elisabethguigou"
"andrieux_sylvie"	"jccambadelis"
"andrieux_sylvie"	"jm_leguen"
"andrieux_sylvie"	"bromagnan"
"andrieux_sylvie"	"CCoutelle"
"andrieux_sylvie"	"Vauzelle"
"andrieux_sylvie"	"henrijibrayel"
"andrieux_sylvie"	"BrunoLeRoux"
"andrieux_sylvie"	"claudebartolone"
"andrieux_sylvie"	"PouriaAmirshahi"
"andrieux_sylvie"	"jdciot"
"AndrSaint"	"ynicolin"
"AndrSaint"	"BourguignonBrig"
"AndrSaint"	"Th_Braillard"
"AndrSaint"	"philippekemel"
"AndrSaint"	"jvalax"
"AndrSaint"	"marclefur"
"AndrSaint"	"aveccrozon"
"AndrSaint"	"PhilippeNauche"
"AndrSaint"	"pierrealainmuet"
"AndrSaint"	"jm_leguen"
"AndrSaint"	"Guy_Delcourt"
"AndrSaint"	"regisjuanico"
"AndrSaint"	"olivierdussopt"
"AndrSaint"	"claudebartolone"
"AndrSaint"	"Vauzelle"
"AndrSaint"	"jccambadelis"
"AndrSaint"	"faureolivier"
"AndrSaint"	"elisabethguigou"
"AndrSaint"	"BrunoLeRoux"
"annegrommerch"	"claudebartolone"
"annegrommerch"	"SophieDionBaud"
"annegrommerch"	"ca_ginesy"
"annegrommerch"	"agrosskost"
"annegrommerch"	"GillesCarrez"
"annegrommerch"	"GeorgesFENECH"
