"Sexe"	"Prénom"	"Nom"	"Groupe"	"Département.d.élection"	"Num.circonscription"	"Commission.permanente"	"Twitter"
"M."	"Alain"	"Bocquet"	"GDR"	"Nord"	20	"Affaires étrangères"	NA
"M."	"Alain"	"Calmette"	"SRC"	"Cantal"	1	"Développement durable"	NA
"M."	"Alain"	"Chrétien"	"UMP"	"Haute-Saône"	1	"Défense"	"alainchretien"
"M."	"Alain"	"Claeys"	"SRC"	"Vienne"	1	"Finances"	NA
"M."	"Alain"	"Fauré"	"SRC"	"Ariège"	2	"Finances"	NA
"M."	"Alain"	"Gest"	"UMP"	"Somme"	4	"Développement durable"	"alain_gest"
"M."	"Alain"	"Leboeuf"	"UMP"	"Vendée"	1	"Développement durable"	"a_leboeuf"
"M."	"Alain"	"Marc"	"UMP"	"Aveyron"	3	"Affaires économiques"	NA
"M."	"Alain"	"Marleix"	"UMP"	"Cantal"	2	"Défense"	"marleixalain"
"M."	"Alain"	"Marsaud"	"UMP"	"Français établis hors de France"	10	"Affaires étrangères"	"alain_marsaud"
"M."	"Alain"	"Marty"	"UMP"	"Moselle"	4	"Défense"	NA
"M."	"Alain"	"Moyne-Bressand"	"UMP"	"Isère"	6	"Défense"	"moyne_bressand"
"M."	"Alain"	"Rodet"	"SRC"	"Haute-Vienne"	1	"Finances"	NA
"M."	"Alain"	"Rousset"	"SRC"	"Gironde"	7	"Défense"	"al_rousset"
"M."	"Alain"	"Suguenot"	"UMP"	"Côte-d'Or"	5	"Affaires économiques"	"A_Suguenot"
"M."	"Alain"	"Tourret"	"RRDP"	"Calvados"	6	"Lois"	"AlainTourret"
"M."	"Alexis"	"Bachelay"	"SRC"	"Hauts-de-Seine"	1	"Développement durable"	"ABachelay"
"M."	"Alfred"	"Marie-Jeanne"	"GDR"	"Martinique"	1	"Lois"	NA
"M."	"André"	"Chassaigne"	"GDR"	"Puy-de-Dôme"	5	"Affaires économiques"	"AndreChassaigne"
"M."	"André"	"Santini"	"UDI"	"Hauts-de-Seine"	10	"Affaires étrangères"	"ASantini_UDI"
"M."	"André"	"Schneider"	"UMP"	"Bas-Rhin"	3	"Affaires étrangères"	NA
"Mme"	"Anne"	"Grommerch"	"UMP"	"Moselle"	9	"Affaires économiques"	"annegrommerch"
"Mme"	"Anne-Lise"	"Dufour-Tonini"	"SRC"	"Nord"	19	"Affaires culturelles et éducation"	NA
"Mme"	"Anne-Yvonne"	"Le Dain"	"SRC"	"Hérault"	2	"Lois"	"Ayledain"
"Mme"	"Annick"	"Girardin"	"RRDP"	"Saint-Pierre-et-Miquelon"	1	"Finances"	NA
"Mme"	"Annick"	"Lepetit"	"SRC"	"Paris"	3	"Affaires économiques"	"Annick_Lepetit"
"Mme"	"Annick"	"Le Loch"	"SRC"	"Finistère"	7	"Affaires économiques"	"annick_leloch"
"Mme"	"Annie"	"Genevard"	"UMP"	"Doubs"	5	"Affaires culturelles et éducation"	NA
"Mme"	"Annie"	"Le Houerou"	"SRC"	"Côtes-d'Armor"	4	"Affaires sociales"	NA
"M."	"Antoine"	"Herth"	"UMP"	"Bas-Rhin"	5	"Affaires économiques"	NA
"Mme"	"Arlette"	"Grosskost"	"UMP"	"Haut-Rhin"	5	"Finances"	"agrosskost"
"M."	"Armand"	"Jung"	"SRC"	"Bas-Rhin"	1	"Affaires économiques"	NA
"M."	"Arnaud"	"Leroy"	"SRC"	"Français établis hors de France"	5	"Développement durable"	"ar_leroy"
"M."	"Arnaud"	"Richard"	"UDI"	"Yvelines"	7	"Affaires sociales"	"ArnaudRichard_"
"M."	"Arnaud"	"Robinet"	"UMP"	"Marne"	1	"Affaires sociales"	"DeputeARobinet"
"M."	"Ary"	"Chalus"	"RRDP"	"Guadeloupe"	3	"Affaires culturelles et éducation"	NA
"Mme"	"Audrey"	"Linkenheld"	"SRC"	"Nord"	2	"Affaires économiques"	NA
"M."	"Avi"	"Assouly"	"SRC"	"Bouches-du-Rhône"	5	"Affaires étrangères"	NA
"M."	"Axel"	"Poniatowski"	"UMP"	"Val-d'Oise"	2	"Affaires étrangères"	"AxelPoniatowski"
"Mme"	"Axelle"	"Lemaire"	"SRC"	"Français établis hors de France"	3	"Lois"	"axellelemaire"
"Mme"	"Barbara"	"Pompili"	"Ecolo"	"Somme"	2	"Affaires culturelles et éducation"	"PompiliBarbara"
"Mme"	"Barbara"	"Romagnan"	"SRC"	"Doubs"	1	"Affaires sociales"	"bromagnan"
"Mme"	"Béatrice"	"Santais"	"SRC"	"Savoie"	3	"Affaires économiques"	NA
"M."	"Benoist"	"Apparu"	"UMP"	"Marne"	4	"Affaires culturelles et éducation"	"benoistapparu"
"Mme"	"Bérengère"	"Poletti"	"UMP"	"Ardennes"	1	"Affaires sociales"	NA
"Mme"	"Bernadette"	"Laclais"	"SRC"	"Savoie"	4	"Affaires sociales"	NA
"M."	"Bernard"	"Accoyer"	"UMP"	"Haute-Savoie"	1	"Affaires sociales"	"BernardAccoyer"
"M."	"Bernard"	"Brochand"	"UMP"	"Alpes-Maritimes"	8	"Affaires culturelles et éducation"	NA
"M."	"Bernard"	"Debré"	"UMP"	"Paris"	4	"Affaires culturelles et éducation"	"bernard_debre"
"M."	"Bernard"	"Deflesselles"	"UMP"	"Bouches-du-Rhône"	9	"Défense"	NA
"M."	"Bernard"	"Gérard"	"UMP"	"Nord"	9	"Lois"	"bgerard59"
"M."	"Bernard"	"Lesterlin"	"SRC"	"Allier"	2	"Lois"	"BLesterlin"
"M."	"Bernard"	"Perrut"	"UMP"	"Rhône"	9	"Affaires sociales"	"B_Perrut"
"M."	"Bernard"	"Reynès"	"UMP"	"Bouches-du-Rhône"	15	"Affaires économiques"	"bernardreynes"
"M."	"Bernard"	"Roman"	"SRC"	"Nord"	1	"Lois"	"bernardroman59"
"M."	"Bertrand"	"Pancher"	"UDI"	"Meuse"	1	"Développement durable"	"bertrandpancher"
"M."	"Boinali"	"Said"	"SRC"	"Mayotte"	1	"Affaires étrangères"	NA
"Mme"	"Brigitte"	"Allain"	"Ecolo"	"Dordogne"	2	"Affaires économiques"	"BrigitteAllain"
"Mme"	"Brigitte"	"Bourguignon"	"SRC"	"Pas-de-Calais"	6	"Affaires culturelles et éducation"	"BourguignonBrig"
"M."	"Bruno"	"Le Maire"	"UMP"	"Eure"	1	"Finances"	"Bruno_LeMaire"
